new_index,figi,name,ticker,exchCode,compositeFIGI,securityType,marketSector,shareClassFIGI,securityType2,securityDescription,uniqueID,uniqueIDFutOpt
116,BBG00GD4MT67,ACONEX LTD,ACX1EUR,EO,BBG00GD4MT67,Common Stock,Equity,BBG001T3HS27,Common Stock,ACX1EUR,,
117,BBG000DFGDV1,ACORDA THERAPEUTICS INC,CDG0,GR,BBG000DFGDV1,Common Stock,Equity,BBG001SH8359,Common Stock,CDG0,,
118,BBG0066FW6W2,ACORN CAPITAL INVESTMENT FUN,ACQ,AU,BBG0066FW6W2,Closed-End Fund,Equity,BBG0066FW6T6,Mutual Fund,ACQ,,
119,BBG000CMY866,ACORN ENERGY INC,ACFN,US,BBG000CMY866,Common Stock,Equity,BBG001S6ZZ25,Common Stock,ACFN,,
120,,,,,,,,,,,,
121,,,,,,,,,,,,
122,BBG00MKGZDV2,ACREAGE HOLDINGS INC-SUB,ACRGF,PQ,BBG00MKGZDF0,Common Stock,Equity,BBG00MK2N7R4,Common Stock,ACRGF,,
123,BBG000CNWJ71,ACROW FORMWORK AND CONSTRUCT,ACF,AU,BBG000CNWJ71,Common Stock,Equity,BBG001T07VM5,Common Stock,ACF,,
124,BBG000BS7KG6,ACTELION LTD-REG,ALIOF,US,BBG000BS7KG6,Common Stock,Equity,BBG001SDSN07,Common Stock,ALIOF,,
125,BBG00GBNWL72,ACTIC GROUP AB,ATIC,SS,BBG00GBNWL63,Common Stock,Equity,BBG00GBNWLC6,Common Stock,ATIC,,
126,BBG000RQZ245,ACTINIUM PHARMACEUTICALS INC,ATNM,US,BBG000RQZ245,Common Stock,Equity,BBG001SV3L17,Common Stock,ATNM,,
127,BBG000PS5JL0,ACTINOGEN MEDICAL LTD,ACW,AU,BBG000PS5JL0,Common Stock,Equity,BBG001SRC0W8,Common Stock,ACW,,
128,BBG000P23NJ3,ACTION CONSTRUCTION EQUIPMEN,ACCE,IN,BBG000P23NJ3,Common Stock,Equity,BBG001SPT8G5,Common Stock,ACCE,,
129,BBG000BCR1Q0,ACTIVE ENERGY GROUP PLC,AEG,LN,BBG000BCR0R1,Common Stock,Equity,BBG001S67P73,Common Stock,AEG,,
130,,,,,,,,,,,,
131,BBG002Z554R2,ACTIVIA PROPERTIES INC,3279,JP,BBG002Z554R2,REIT,Equity,BBG002Z55580,REIT,3279,,
132,BBG000C2CV72,ACTIVISION BLIZZARD INC,AIY,GR,BBG000C2CV72,Common Stock,Equity,BBG001S6C009,Common Stock,AIY,,
