,Code,Exchange,Name,Type,Country,Currency,ISIN,previousClose,previousCloseDate
138,000553,SHE,ADAMA Ltd,Common Stock,China,CNY,CNE0000004V0,11.27,2022-07-21
139,ADZ,V,Adamera Minerals Corp.,Common Stock,Canada,CAD,CA00547Y1051,0.06,2022-07-20
140,ADMP,US,Adamis Pharma,Common Stock,USA,USD,US00547W2089,0.4,2022-07-21
141,PEO,US,Adams Natural Resources Closed Fund,FUND,USA,USD,US00548F1057,19.7,2022-07-21
142,ADA,LSE,Adams Plc,Common Stock,UK,GBX,IM00B986V543,6.0,2022-07-21
143,ADANIENT,NSE,Adani Enterprises Limited,Common Stock,India,INR,INE423A01024,2495.0,2022-07-21
144,ADANIENT,BSE,ADANI ENTERPRISES LTD.,Common Stock,India,INR,INE423A01024,2495.95,2022-07-21
145,ADANIGREEN,NSE,Adani Green Energy Limited,Common Stock,India,INR,INE364U01010,2109.75,2022-07-21
146,541450,BSE,Adani Green Energy Limited,Common Stock,India,INR,INE364U01010,2110.3,2022-07-21
147,ADANIGREEN,BSE,Adani Green Energy Ltd,Common Stock,India,INR,INE364U01010,2110.3,2022-07-21
148,ADANIPORTS,NSE,Adani Ports and Special Economic Zone Limited,Common Stock,India,INR,INE742F01042,754.25,2022-07-21
149,ADANIPORTS,BSE,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,Common Stock,India,INR,INE742F01042,754.4,2022-07-21
150,ADANIPOWER,NSE,Adani Power Limited,Common Stock,India,INR,INE814H01011,294.0,2022-07-21
151,ADANIPOWER,BSE,ADANI POWER LTD.,Common Stock,India,INR,INE814H01011,293.85,2022-07-21
152,ADANITRANS,NSE,Adani Transmission Limited,Common Stock,India,INR,INE931S01010,3043.75,2022-07-21
153,ADANITRANS,BSE,Adani Transmission Ltd,Common Stock,India,INR,INE931S01010,3045.4,2022-07-21
154,ADAP,US,Adaptimmune Therapeutics Plc,Common Stock,USA,USD,US00653A1079,1.9,2022-07-21
155,AATV,US,Adaptive Ad Systems Inc,Common Stock,USA,USD,US00650A1007,0.476,2022-07-21
156,ADPT,US,Adaptive Biotechnologies Corp,Common Stock,USA,USD,US00650F1093,9.56,2022-07-21
157,ADTM,US,Adaptive Medias Inc,Common Stock,USA,USD,US00652J2087,0.0001,2022-07-21
158,2685,TSE,Adastria Holdings Co Ltd,Common Stock,Japan,JPY,JP3856000009,2021.0,2022-07-21
159,ADCO,TO,Adcore Inc,Common Stock,Canada,CAD,CA00654B1040,0.23,2022-07-21
160,ADXN,SW,Addex Therapeutics Ltd,Common Stock,Switzerland,CHF,CH0029850754,0.309,2022-07-21
