new_index,longName,marketName,secIdList,Origin_Name,Origin_Stock,Origin_Country
107,ACKROO INC,CURRENT,CA00461T2074,ACKROO INC,AKRFF,United States of America
108,ACLARIS THERAPEUTICS INC,NMS,US00461U1051,ACLARIS THERAPEUTICS INC,ACRS,United States of America
109,ACM RESEARCH INC-CLASS A,NMS,US00108J1097,ACM RESEARCH INC-CLASS A,ACMR,United States of America
110,ACME UNITED CORP,ACU,US0048161048,ACME UNITED CORP,ACU,United States of America
111,ACMOS INC,6888,JP3108100003,ACMOS INC,6888,Japan
112,ACNB CORP,SCM,US0008681092,ACNB CORP,ACNB,United States of America
113,ACOM CO LTD,8572,JP3108600002,ACOM CO LTD,8572,Japan
114,ACONEX LTD,ACX,AU000000ACX1,ACONEX LTD,ACX,
115,ACORDA THERAPEUTICS INC,NMS,US00484M6012,ACORDA THERAPEUTICS INC,ACOR,Germany
116,ACORN CAPITAL INVESTMENT FUN,ACQ,AU000000ACQ5,ACORN CAPITAL INVESTMENT FUN,ACQ,Australia
117,ACORN ENERGY INC,ACFN,US0048481073,ACORN ENERGY INC,ACFN,United States of America
118,ACORN INTERNATIONAL INC-ADR,ATV,US0048542049,ACORN INTERNATIONAL INC-ADR,ATV,United States of America
119,ACRE REALTY INVESTORS INC,AIII,US00489F1066,ACRE REALTY INVESTORS INC,AIII,United States of America
120,ACREAGE HOLDINGS INC-SUB,ACRGF,CA00489Y4022,ACREAGE HOLDINGS INC-SUB,ACRGF,United States of America
121,ACROW FORMWORK AND CONSTRUCT,ACF,AU0000006124,ACROW FORMWORK AND CONSTRUCT,ACF,Australia
122,ACTELION LTD-REG,ACT,CH0010532478,ACTELION LTD-REG,ACT,
123,ACTIC GROUP AB,ATIC,SE0009269467,ACTIC GROUP AB,ATIC,Sweden
124,ACTINIUM PHARMACEUTICALS INC,ATNM,US00507W2061,ACTINIUM PHARMACEUTICALS INC,ATNM,United States of America
125,ACTINOGEN MEDICAL LTD,ACW,AU000000ACW3,ACTINOGEN MEDICAL LTD,ACW,Australia
126,ACTION CONSTRUCTION EQUIPMEN,ACE,INE731H01025,ACTION CONSTRUCTION EQUIPMEN,ACE,India
127,ACTIVE ENERGY GROUP PLC,ASQ1,GB00BPG7NS80,ACTIVE ENERGY GROUP PLC,AEG,United Kingdom
128,ACTIVECARE INC,ACARQ,US0050573023,ACTIVECARE INC,ACARQ,
129,ACTIVIA PROPERTIES INC,3279,JP3047490002,ACTIVIA PROPERTIES INC,3279,Japan
130,ACTIVISION BLIZZARD INC,NMS,US00507V1098,ACTIVISION BLIZZARD INC,ATVI,Mexico
